City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
191,aripuana,BR,-9.17,-60.63,1579645357.0,82.54,93.0,100.0,2.15
192,sorland,NO,67.67,12.69,1579645358.0,32.0,71.0,75.0,5.82
193,jaciara,BR,-15.97,-54.97,1579645360.0,84.7,81.0,99.0,1.48
194,banda aceh,ID,5.56,95.32,1579645268.0,73.08,92.0,15.0,4.97
195,shimanovsk,RU,52.0,127.7,1579645362.0,-9.92,98.0,96.0,2.3
196,touros,BR,-5.2,-35.46,1579645363.0,80.6,83.0,40.0,8.05
197,lavrentiya,RU,65.58,-171.0,1579645364.0,0.34,95.0,100.0,10.54
198,boundiali,CI,9.52,-6.49,1579645365.0,81.66,37.0,39.0,2.89
199,baruun-urt,MN,46.68,113.28,1579645366.0,3.65,80.0,97.0,4.54
200,new norfolk,AU,-42.78,147.06,1579645367.0,66.2,39.0,75.0,11.41
201,coquimbo,CL,-29.95,-71.34,1579645208.0,68.0,72.0,40.0,10.29
202,margate,GB,51.38,1.39,1579645335.0,39.0,100.0,75.0,3.36
204,castro,BR,-24.79,-50.01,1579645371.0,76.68,62.0,67.0,3.67
205,udachnyy,RU,66.42,112.4,1579645372.0,-32.8,73.0,22.0,6.71
206,saskylakh,RU,71.92,114.08,1579645373.0,-30.35,96.0,92.0,5.93
207,ust-uda,RU,54.17,103.03,1579645374.0,-7.8,91.0,100.0,2.15
209,dali,CN,25.7,100.18,1579645375.0,34.0,94.0,0.0,3.42
210,storforshei,NO,66.4,14.52,1579645376.0,32.0,97.0,90.0,13.87
211,mokrous,RU,51.23,47.52,1579645378.0,30.2,96.0,100.0,19.17
212,waingapu,ID,-9.66,120.26,1579645379.0,82.8,78.0,0.0,10.85
213,hofn,IS,64.25,-15.21,1579645380.0,42.17,71.0,100.0,12.66
214,anchorage,US,61.22,-149.9,1579645327.0,18.0,85.0,90.0,3.31
215,port hedland,AU,-20.32,118.57,1579645382.0,84.2,83.0,0.0,12.75
216,yarim,YE,14.3,44.38,1579645383.0,52.02,81.0,0.0,1.41
217,manokwari,ID,-0.87,134.08,1579645384.0,72.77,81.0,100.0,4.21
218,quatre cocos,MU,-20.21,57.76,1579645385.0,77.0,94.0,75.0,3.36
220,fairbanks,US,64.84,-147.72,1579645214.0,-6.0,75.0,1.0,1.5
221,aranos,NA,-24.13,19.12,1579645388.0,83.44,12.0,0.0,9.06
222,saint george,US,37.1,-113.58,1579645204.0,55.0,57.0,90.0,2.75
223,bandarbeyla,SO,9.49,50.81,1579645390.0,76.21,77.0,0.0,21.45
224,evensk,RU,61.95,159.23,1579645391.0,-15.63,79.0,92.0,7.43
225,payakumbuh,ID,-0.22,100.63,1579645392.0,67.6,99.0,100.0,2.91
226,roma,US,43.21,-75.46,1579645393.0,27.0,62.0,90.0,4.27
228,san cristobal,VE,7.77,-72.22,1579645394.0,61.74,90.0,80.0,1.63
229,skaudvile,LT,55.42,22.62,1579645396.0,41.52,90.0,100.0,12.95
230,tasiilaq,GL,65.61,-37.64,1579645397.0,21.2,85.0,100.0,36.91
